Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
253,Evil Under the Sun,PG,Crime,1982,7.1,"March 5, 1982 ",15000,117,
254,The Sword and the Sorcerer,R,Action,1982,5.6,"April 30, 1982 ",5700,99,
255,Death Wish II,R,Action,1982,6,"February 19, 1982 ",15000,89,
256,Silent Rage,R,Action,1982,5.5,"April 2, 1982 ",5300,103,
257,Megaforce,PG,Action,1982,3.7,"June 25, 1982 ",3400,99,
258,Personal Best,R,Drama,1982,6.3,"June 26, 1982 ",2600,128,
259,Dead Men Don't Wear Plaid,PG,Comedy,1982,6.9,"May 21, 1982 ",21000,88,
260,Amityville II: The Possession,R,Horror,1982,5.5,"September 24, 1982 ",11000,104,
261,Missing,PG,Biography,1982,7.7,"March 12, 1982 ",19000,122,
262,Frances,R,Biography,1982,7.3,"March 11, 1983 ",7300,140,
263,The Seduction,R,Thriller,1982,4.9,"January 29, 1982 ",1100,104,
264,Cannery Row,PG,Comedy,1982,6.7,"February 12, 1982 ",3500,120,
265,Deathtrap,PG,Comedy,1982,7,"March 19, 1982 ",13000,116,
266,Tex,PG,Drama,1982,6.5,"July 30, 1982 ",2000,103,
267,Time Walker,PG,Horror,1982,3.6,"November 19, 1982 ",1700,83,
268,"I, the Jury",R,Crime,1982,5.9,"April 22, 1982 ",1500,111,
269,Tempest,PG,Comedy,1982,6.5,"September 24, 1982 ",2200,140,
270,Young Doctors in Love,R,Comedy,1982,5.5,"July 16, 1982 ",3000,96,
271,My Favorite Year,PG,Comedy,1982,7.4,"October 8, 1982 ",9000,92,
272,Still of the Night,PG,Crime,1982,6.1,"November 19, 1982 ",4300,93,
273,Parasite,R,Horror,1982,3.9,"March 12, 1982 ",2300,85,
274,Making Love,R,Drama,1982,6.9,"March 5, 1982 ",2500,113,
275,Honkytonk Man,PG,Comedy,1982,6.6,"December 15, 1982 ",8200,122,
276,The Beast Within,R,Horror,1982,5.6,"February 12, 1982 ",3700,98,
277,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,7.2,"April 6, 1983 ",4200,109,
278,The Final Option,R,Action,1982,6.4,"September 16, 1983 ",3000,125,
279,Trail of the Pink Panther,PG,Comedy,1982,5,"December 17, 1982 ",9800,96,
280,The Sender,R,Drama,1982,6,"October 22, 1982 ",1800,91,
281,The Border,R,Crime,1982,6.4,"February 12, 1982 ",6100,108,
282,Kiss Me Goodbye,PG,Comedy,1982,6,"December 22, 1982 ",1900,101,
283,A Midsummer Night's Sex Comedy,PG,Comedy,1982,6.6,"July 16, 1982 ",19000,88,
284,Vice Squad,R,Action,1982,6.5,"January 22, 1982 ",2000,97,
285,Best Friends,PG,Comedy,1982,5.5,"December 17, 1982 ",2700,116,
286,Shoot the Moon,R,Drama,1982,6.9,"February 19, 1982 ",2500,124,
287,Lookin' to Get Out,R,Comedy,1982,5.1,"June 30, 1983 ",684,105,
288,Barbarosa,PG,Western,1982,6.4,"February 19, 1982 ",1500,90,
289,Visiting Hours,R,Horror,1982,5.7,"May 28, 1982 ",3800,103,
290,A Little Sex,R,Comedy,1982,4.9,"April 2, 1982 ",501,95,
291,Class Reunion,R,Comedy,1982,4.7,"October 29, 1982 ",2000,84,
292,Hanky Panky,PG,Action,1982,5.6,"June 4, 1982 ",2400,110,
293,Author! Author!,PG,Comedy,1982,6.2,"June 18, 1982 ",5100,110,
294,Split Image,R,Drama,1982,6.5,"October 3, 1982 ",768,110,
295,The Challenge,R,Action,1982,6.3,"July 23, 1982 ",2000,108,
296,The Soldier,R,Action,1982,5.3,"August 27, 1982 ",1100,96,
297,Wrong Is Right,R,Comedy,1982,5.7,"May 14, 1982 ",1800,117,
298,Six Weeks,PG,Drama,1982,5.7,"December 17, 1982 ",818,107,
299,The State of Things,R,Drama,1982,7,"February 18, 1983 ",3000,121,
300,Jekyll and Hyde... Together Again,R,Sci-Fi,1982,6.2,"October 1, 1982 ",1100,87,
301,Forced Vengeance,R,Action,1982,5.6,"July 30, 1982 ",2900,90,
302,The Missionary,R,Comedy,1982,6.2,"November 5, 1982 ",2100,90,
303,The Escape Artist,PG,Comedy,1982,6.2,"May 28, 1982 ",683,94,
304,Night Crossing,PG,Drama,1982,6.5,"February 5, 1982 ",1300,107,
305,Endangered Species,R,Drama,1982,5.9,"September 10, 1982 ",914,97,
306,Things Are Tough All Over,R,Action,1982,6,"August 4, 1982 ",3100,90,
307,Homework,R,Comedy,1982,3.5,"August 27, 1982 ",322,90,
308,Jinxed!,R,Comedy,1982,4.7,"October 22, 1982 ",984,103,
309,The Return of Martin Guerre,Not Rated,Biography,1982,7.4,"August 26, 1983 ",4100,112,
310,They Call Me Bruce,PG,Action,1982,5.7,"November 12, 1982 ",1500,87,
311,Some Kind of Hero,R,Comedy,1982,5.8,"April 2, 1982 ",1400,97,
312,Hammett,PG,Crime,1982,6.5,"September 17, 1982 ",3000,97,
313,Five Days One Summer,PG,Drama,1982,6.1,1982 ,1000,108,
314,Penitentiary II,R,Crime,1982,4.4,"April 2, 1982 ",538,108,
315,If You Could See What I Hear,PG,Biography,1982,6.8,"April 23, 1982 ",785,103,
316,Partners,R,Comedy,1982,5.3,"April 30, 1982 ",1200,93,
317,Richard Pryor: Live on the Sunset Strip,R,Comedy,1982,7.7,"March 12, 1982 ",3900,82,
318,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,1982,7.1,"November 19, 1982 ",1800,74,
319,Monsignor,R,Crime,1982,5.1,"October 22, 1982 ",838,121,
320,"Yes, Giorgio",PG,Comedy,1982,3.9,"September 24, 1982 ",653,110,
321,I Ought to Be in Pictures,PG,Comedy,1982,6.2,"March 26, 1982 ",895,108,
322,La traviata,G,Drama,1982,7.2,"February 18, 1983 ",1300,109,
323,Fighting Back,R,Action,1982,6.1,"May 21, 1982 ",460,98,
324,Kamikaze 89,Not Rated,Sci-Fi,1982,5.8,"July 16, 1982 ",665,106,
325,The Wizard of Oz,Not Rated,Animation,1982,6.8,"October 6, 1982 ",352,78,
326,Heidi's Song,G,Animation,1982,6.3,"November 19, 1982 ",256,94,
327,Love Child,R,Crime,1982,5.7,"October 15, 1982 ",253,96,
328,Boardinghouse,R,Comedy,1982,3.8,"October 21, 1983 ",651,98,
329,Experience Preferred... But Not Essential,PG,Drama,1982,7,"December 22, 1982 ",240,80,
330,The Personals,PG,Comedy,1982,6.7,October 1982 ,75,90,
331,Lonely Hearts,R,Comedy,1982,6.8,"October 21, 1982 ",336,106,
332,Scarface,R,Crime,1983,8.3,"December 9, 1983 ",766000,170,
333,The Outsiders,PG,Crime,1983,7.1,"March 25, 1983 ",78000,91,
334,Star Wars: Episode VI - Return of the Jedi,PG,Action,1983,8.3,"May 25, 1983 ",973000,131,
335,Risky Business,R,Comedy,1983,6.8,"August 5, 1983 ",83000,99,
336,National Lampoon's Vacation,R,Adventure,1983,7.4,"July 29, 1983 ",100000,98,
337,Trading Places,R,Comedy,1983,7.5,"June 8, 1983 ",141000,116,
