Id,Director,writer,actor,crew
1330,Bud S. Smith,Steve Zacharias,Anthony Michael Hall,96
1331,Francis Megahy,David Ambrose,Pierce Brosnan,97
1332,Kenneth Johnson,S.S. Wilson,Fisher Stevens,104
1333,Wes Craven,Wade Davis,Bill Pullman,85
1334,William Richert,William Richert,River Phoenix,75
1335,Peter Hyams,Larry Ferguson,Sean Connery,104
1336,Jim Abrahams,Dori Pierson,Bette Midler,87
1337,George A. Romero,Michael Stewart,Jason Beghe,102
1338,Carl Schultz,Ellen Green,Demi Moore,119
1339,Emir Kusturica,Emir Kusturica,Davor Dujmovic,65
1340,Bob Swaim,Dick Wolf,Rob Lowe,69
1341,Don Coscarelli,Don Coscarelli,James Le Gros,100
1342,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,113
1343,Craig R. Baxley,Robert Reneau,Carl Weathers,137
1344,James Bridges,Jay McInerney,Michael J. Fox,66
1345,Roger Spottiswoode,Harv Zimmel,Sidney Poitier,107
1346,Kevin Reynolds,William Mastrosimone,George Dzundza,92
1347,Frank LaLoggia,Frank LaLoggia,Lukas Haas,32
1348,Michael Apted,Harold T.P. Hayes,Sigourney Weaver,65
1349,Graham Baker,Rockne S. O'Bannon,James Caan,65
1350,Costa-Gavras,Joe Eszterhas,Debra Winger,120
1351,Steve De Jarnatt,Steve De Jarnatt,Anthony Edwards,63
1352,David Green,Colin Shindler,Phil Collins,46
1353,Randal Kleiser,Paul Reubens,Paul Reubens,48
1354,John G. Avildsen,Tim Kazurinsky,Molly Ringwald,16
1355,Michael Winner,Agatha Christie,Peter Ustinov,125
1356,Michael Hoffman,Rupert Walters,Patrick Dempsey,87
1357,Mick Garris,David Twohy,Scott Grimes,121
1358,Mark Goldblatt,Terry Black,Treat Williams,83
1359,Oliver Stone,Stephen Singular,Eric Bogosian,146
1360,Joan Freeman,Charles Purpura,Justine Bateman,48
1361,Jean-Jacques Annaud,James Oliver Curwood,Tchéky Karyo,132
1362,Robert Redford,John Nichols,Rubén Blades,103
1363,Paul Flaherty,Josh Goldstein,Charlie Schlatter,66
1364,Brian Gilbert,Dick Clement,Judge Reinhold,77
1365,David Anspaugh,Larry Ketron,Molly Ringwald,80
1366,Peter Markle,William C. Anderson,Gene Hackman,70
1367,Geneviève Robert,Wendy Goldman,Lea Thompson,71
1368,Rowdy Herrington,Rowdy Herrington,James Spader,64
1369,Clint Eastwood,Joel Oliansky,Forest Whitaker,20
1370,Steven Kampmann,Steven Kampmann,Mark Harmon,145
1371,Mira Nair,Mira Nair,Shafiq Syed,111
1372,Yahoo Serious,Yahoo Serious,Yahoo Serious,60
1373,David Seltzer,David Seltzer,Sally Field,50
1374,Geoff Burrowes,John Dixon,Tom Burlinson,21
1375,Alan Metter,Andy Breckman,Richard Pryor,77
1376,Roger Vadim,R.J. Stewart,Rebecca De Mornay,20
1377,Mike Leigh,Mike Leigh,Phil Davis,74
1378,Richard Benjamin,John Hill,Sidney Poitier,46
1379,Bruno Nuytten,Reine-Marie Paris,Isabelle Adjani,106
1380,Paul Bogart,Harvey Fierstein,Anne Bancroft,112
1381,Ken Kwapis,Deborah Blum,Cyndi Lauper,18
1382,Catherine Breillat,Catherine Breillat,Delphine Zentout,148
1383,Annabel Jankel,Charles Edward Pogue,Dennis Quaid,87
1384,Aaron Norris,Arthur Silver,Chuck Norris,93
1385,Joseph Zito,Robert Abramoff,Dolph Lundgren,126
1386,Peter Greenaway,Peter Greenaway,Bernard Hill,124
1387,Jon Hess,Dean R. Koontz,Corey Haim,121
1388,Daniel Petrie,Amos Poe,Burt Lancaster,100
1389,Camilo Vila,Philip Yordan,Ben Cross,115
1390,Jim Wynorski,R.J. Robertson,Traci Lords,128
1391,Alan Alda,Alan Alda,Alan Alda,84
1392,Ernest Thompson,Ernest Thompson,Robert Downey Jr.,30
1393,Bud Yorkin,Steve Gordon,Dudley Moore,66
1394,J. Lee Thompson,Rex Burns,Charles Bronson,31
